@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,31,33-weka.filters.unsupervised.attribute.Remove-R8-11,20-23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-Llast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 7 -L last-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 22 -L last-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 42'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
18,13,False,False,True,True,West,10,15,13,15,14,15,17,15,10,7,6,3,-1,-24,West
14,17,False,True,True,True,West,12,19,12,19,5,1,16,15,4,4,-1,5,-1,114,West
8,9,False,True,True,True,East,4,4,3,1,9,11,13,4,9,-1,3,10,5,191,East
18,5,True,False,False,True,East,12,15,14,16,16,15,17,15,16,15,12,12,-1,-6,North
11,8,True,True,True,True,West,6,10,4,13,5,1,7,1,7,12,-1,-1,8,391,West
5,10,True,True,True,False,South,6,4,7,9,8,11,13,5,7,3,4,14,9,-5,East
5,10,True,True,True,False,South,6,5,6,9,8,11,14,6,6,2,4,13,9,-5,South
13,16,True,True,True,False,South,1,1,3,1,5,1,16,15,-1,-1,-1,5,-1,508,East
11,3,True,False,False,True,East,1,1,3,1,17,6,25,7,-1,-1,9,18,-1,363,North
15,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,346,East
16,15,False,False,True,True,East,10,15,3,1,5,1,17,15,6,-1,-1,1,-1,351,East
15,7,True,True,True,True,East,1,1,3,1,19,9,23,10,-1,-1,6,10,1,1282,East
19,8,False,False,True,True,East,13,15,13,15,16,15,17,15,13,13,10,9,-1,-10,East
14,6,True,True,True,True,South,1,1,3,1,17,6,25,7,-1,-1,3,12,-1,308,East
4,11,False,False,True,True,East,6,5,7,9,8,11,13,5,8,5,4,15,11,-3,East
12,12,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,11,18,-1,353,East
1,14,True,True,True,False,South,5,8,11,4,20,6,24,6,10,20,27,31,-1,-4,South
16,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,10,-1,337,West
8,9,True,True,True,True,South,9,3,11,7,19,12,22,9,7,5,14,14,1,393,East
16,13,False,False,True,True,East,13,16,13,17,15,18,15,15,6,7,6,2,-1,-74,East
18,11,True,True,True,True,East,1,1,3,1,26,4,25,5,-1,-1,15,12,-1,354,East
11,6,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,6,15,-1,360,North
9,8,True,True,True,True,South,9,3,11,7,19,12,22,9,5,3,14,14,1,491,East
12,8,True,True,True,False,South,6,5,3,1,5,1,14,6,9,-1,-1,3,4,384,South
19,17,False,True,False,True,North,11,20,12,18,15,19,16,15,11,8,6,4,-1,-81,West
5,9,True,True,True,True,North,1,1,3,1,8,11,14,6,-1,-1,5,12,8,372,East
23,7,True,True,True,False,South,1,1,3,1,28,5,24,5,-1,-1,7,3,-1,345,South
18,13,False,False,True,True,West,14,17,14,16,16,15,15,15,8,7,4,4,-1,-24,West
20,15,False,False,True,True,West,13,17,12,15,16,15,14,15,9,8,4,7,-1,-20,West
6,12,False,True,True,True,East,9,3,11,7,19,12,22,9,12,10,13,19,1,-2,South
14,8,True,True,True,True,West,1,1,3,1,17,6,25,7,-1,-1,5,12,-1,335,North
8,5,True,True,True,True,South,6,5,3,1,8,11,14,6,2,-1,6,7,3,187,West
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,325,East
13,7,True,True,True,True,South,5,6,5,12,13,6,7,1,9,13,1,-1,7,192,South
7,6,True,True,True,True,East,1,1,9,7,19,12,23,11,-1,3,18,22,1,691,East
21,10,True,True,False,False,North,14,16,11,15,16,15,15,15,13,15,10,10,-1,-14,North
15,5,False,True,True,False,North,11,15,13,16,14,15,15,15,14,13,11,11,-1,-3,East
1,14,True,True,True,False,South,5,9,11,3,17,6,25,7,9,21,24,31,-1,-4,South
9,11,False,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,10,6,566,East
15,3,True,False,True,True,East,10,15,13,15,14,15,17,15,17,14,13,14,-1,-1,North
13,8,True,True,True,True,West,9,3,3,1,5,1,7,1,9,-1,-1,-1,3,564,South
7,5,False,True,True,True,West,6,5,3,1,8,11,14,6,1,-1,7,8,4,186,West
5,12,False,True,True,True,East,9,4,11,6,18,12,22,9,12,12,13,20,1,-1,South
18,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,8,-1,343,East
16,9,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,6,6,1,1667,North
13,8,True,True,True,True,South,6,3,3,1,5,1,7,1,12,-1,-1,-1,3,574,West
12,6,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,13,13,1,1574,East
7,10,True,True,True,True,South,9,3,11,7,19,12,22,9,9,7,14,16,1,295,East
21,8,True,True,True,True,East,1,1,3,1,5,1,23,8,-1,-1,-1,3,1,1875,East
11,13,False,False,True,True,West,14,16,14,16,12,17,16,15,6,6,5,6,-1,-67,West
13,5,False,True,True,True,West,9,3,3,1,5,1,7,1,6,-1,-1,-1,4,559,West
8,6,True,True,True,True,East,1,1,9,6,19,11,23,12,-1,1,16,20,1,790,East
17,13,False,False,True,True,East,13,16,17,15,12,17,12,15,7,2,9,7,-1,-37,East
12,11,True,True,True,True,North,5,6,5,12,13,6,13,12,12,8,6,2,8,-1,North
7,10,True,True,True,True,North,5,11,4,11,5,1,7,1,3,4,-1,-1,12,385,West
17,13,False,False,True,True,East,13,17,13,17,15,17,16,15,8,8,6,2,-1,-75,East
15,8,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,8,8,1,1669,North
8,7,True,True,True,False,South,5,9,11,3,17,6,25,7,5,7,10,17,-1,-18,South
8,17,False,True,True,False,North,10,15,13,15,14,15,17,15,4,7,8,11,-1,-39,East
17,13,False,False,True,True,East,14,15,15,15,11,17,15,15,5,4,10,5,-1,-59,East
19,8,False,False,True,True,East,10,15,13,15,14,15,17,15,16,13,12,9,-1,-10,East
18,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,8,-1,339,West
4,6,True,True,True,True,East,5,8,11,4,21,6,27,4,3,9,17,26,-1,-15,North
18,8,True,True,True,True,North,1,1,3,1,5,1,23,8,-1,-1,-1,5,1,1678,East
6,12,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,1,-1,-1,15,576,West
18,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,8,-1,314,West
19,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,7,-1,315,West
16,10,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,5,7,1,1766,East
21,10,True,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,2,1,2557,South
11,7,True,True,True,True,East,9,3,3,1,19,12,22,9,6,-1,13,13,1,888,South
4,7,True,True,True,True,North,5,7,11,4,22,6,28,4,1,10,19,27,-1,-16,East
10,8,True,True,True,True,East,9,3,11,7,19,12,22,9,6,2,13,13,1,590,South
14,9,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,6,13,-1,333,West
11,9,True,True,False,True,North,1,1,3,1,27,5,27,4,-1,-1,20,20,-1,365,North
15,13,False,False,True,True,West,10,15,13,15,14,15,17,15,7,4,3,4,-1,-27,West
6,9,True,True,False,True,North,5,9,11,3,17,6,25,7,1,11,14,21,-1,-24,West
5,11,True,False,True,True,West,4,12,3,1,5,1,7,1,2,-1,-1,-1,15,582,North
15,13,False,False,True,True,West,11,15,15,15,12,20,15,15,6,2,10,3,-1,-45,West
11,4,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,16,16,1,1477,North
11,10,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,10,17,-1,356,North
1,13,True,True,False,False,South,5,7,11,5,21,6,24,6,10,18,27,31,-1,-5,South
14,13,False,False,True,True,East,14,15,14,15,12,18,16,15,2,2,7,3,-1,-56,East
14,15,True,False,True,True,East,10,15,3,1,5,1,17,15,4,-1,-1,3,-1,353,East
9,13,False,False,True,True,West,12,15,16,15,12,20,16,15,5,9,10,10,-1,-51,East
13,15,True,False,True,True,South,10,15,3,1,14,15,17,15,3,-1,1,4,-1,154,East
6,11,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,2,-1,-1,14,577,North
15,4,True,True,False,False,North,10,15,13,15,14,15,17,15,16,13,12,13,-1,-2,North
4,12,False,False,True,True,East,5,9,11,3,17,6,25,7,4,16,19,26,-1,-9,East
16,13,False,False,True,True,West,13,16,14,16,12,17,15,15,6,5,8,2,-1,-62,West
19,15,True,True,True,False,West,12,17,13,15,17,15,13,15,9,6,2,5,-1,-21,South
16,5,False,False,True,True,East,11,15,13,15,15,15,16,15,15,13,11,11,-1,-4,East
14,7,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,10,10,1,1571,North
12,9,True,True,True,True,South,4,9,3,12,13,8,13,8,8,12,2,1,6,-5,South
12,17,True,False,True,True,West,1,1,12,18,5,1,16,15,-1,1,-1,5,-1,312,North
2,7,True,False,True,True,East,1,1,3,1,8,11,14,6,-1,-1,10,13,9,377,East
20,10,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,3,1,2458,East
14,13,False,False,True,True,West,13,16,14,16,11,17,15,15,4,3,7,3,-1,-64,West
13,9,True,True,True,False,West,1,1,3,1,17,6,25,7,-1,-1,7,14,-1,332,North
18,11,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,2,6,1,1963,North
19,14,True,True,False,False,South,13,17,13,16,16,15,14,15,9,8,4,5,-1,-22,South
6,6,True,False,True,True,South,1,1,11,3,17,6,25,7,-1,8,11,20,-1,171,East
14,15,True,False,True,True,South,1,1,3,1,5,1,17,15,-1,-1,-1,3,-1,506,East
21,9,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,1,1,2556,East
6,11,False,True,True,True,North,1,1,3,1,8,11,14,6,-1,-1,2,13,9,369,East
16,7,True,True,True,True,East,1,1,3,1,19,8,23,9,-1,-1,4,8,1,1381,East
13,9,True,True,True,True,South,5,6,5,12,13,6,7,1,11,11,3,-1,5,194,South
12,13,False,False,True,True,West,14,15,14,16,11,17,15,15,4,5,5,6,-1,-66,West
9,8,True,True,True,True,West,6,9,4,13,5,1,7,1,4,10,-1,-1,10,389,West
23,9,True,True,True,False,South,1,1,3,1,28,7,23,5,-1,-1,7,5,-1,347,South
5,6,True,True,True,True,South,1,1,10,8,18,11,22,10,-1,7,18,22,1,593,East
19,15,True,True,True,False,North,12,20,12,17,15,19,17,15,12,9,8,2,-1,-79,North
17,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,2,9,-1,313,West
14,8,True,True,True,True,South,1,1,3,1,17,6,25,7,-1,-1,5,12,-1,322,East
1,12,True,True,True,False,South,5,9,11,3,17,6,25,7,7,19,22,29,-1,-6,East
8,6,True,True,True,False,South,6,5,3,1,8,11,14,6,3,-1,5,6,2,188,South
6,9,True,True,True,True,East,1,1,3,1,8,11,14,6,-1,-1,4,11,7,371,North
10,4,True,True,True,True,West,9,3,3,1,19,12,22,9,2,-1,17,17,1,1184,South
10,11,False,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,9,5,565,South
20,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,5,6,-1,316,West
11,6,True,True,True,True,West,5,6,5,12,5,1,7,1,6,12,-1,-1,10,389,West
9,9,False,True,True,True,East,5,4,3,1,10,11,13,4,9,-1,3,8,4,190,East
6,11,True,True,True,True,North,4,11,5,11,5,1,7,1,2,1,-1,-1,14,383,West
12,13,False,False,True,True,East,14,16,13,15,14,17,16,15,5,3,6,7,-1,-70,East
