@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R9-12,21-24,31,33-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z500.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 500.0-Fweka.filters.unsupervised.instance.Randomize -S 42'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
15,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,346,East
15,3,True,False,True,True,East,11,15,14,15,14,15,17,15,16,13,13,13,-1,-1,North
9,6,True,True,True,True,West,5,6,5,12,5,1,7,1,4,10,-1,-1,12,387,West
20,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,5,6,-1,341,West
4,11,False,False,True,True,East,6,5,6,9,8,11,14,6,8,4,4,15,11,-3,East
14,7,True,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,1,3,557,South
15,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,321,East
6,8,True,True,True,True,South,6,5,3,1,8,11,14,6,3,-1,5,10,6,192,South
12,11,True,True,True,True,South,4,7,4,11,13,7,13,10,12,8,5,3,8,-3,South
10,8,True,True,True,True,East,9,3,11,7,19,12,22,9,6,2,13,13,1,590,South
17,7,True,True,True,True,East,1,1,3,1,19,8,23,8,-1,-1,3,8,1,1480,East
11,5,True,True,True,True,South,9,3,3,1,19,12,22,9,4,-1,15,15,1,986,South
5,11,False,True,True,True,East,6,5,7,9,9,11,13,5,7,4,4,14,10,-4,South
5,8,True,True,True,True,South,1,1,11,3,17,6,25,7,-1,11,14,21,-1,174,East
15,15,False,False,True,True,East,10,15,3,1,5,1,17,15,5,-1,-1,2,-1,352,East
1,18,False,True,True,False,Stop,5,9,11,3,17,6,25,7,13,25,28,35,-1,0,South
14,8,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,9,9,1,1570,East
13,8,True,True,True,True,South,6,3,3,1,5,1,7,1,12,-1,-1,-1,3,574,West
15,9,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,7,7,1,1668,East
3,12,False,False,True,True,East,5,9,11,3,17,6,25,7,5,17,20,27,-1,-8,East
6,10,True,True,True,False,North,1,1,5,12,5,1,7,1,-1,3,-1,-1,13,578,North
13,9,False,True,True,True,East,6,3,3,1,5,1,7,1,13,-1,-1,-1,2,577,Stop
18,7,True,True,False,False,North,11,15,13,16,16,15,15,15,15,14,10,10,-1,-8,North
11,11,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,11,18,-1,355,North
13,16,True,True,True,False,South,10,15,13,15,14,15,17,15,4,1,2,5,-1,-45,South
9,4,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,18,18,2,1479,East
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,328,Stop
12,5,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,14,14,1,1575,North
1,12,True,True,True,False,South,4,7,11,4,20,6,25,6,8,18,25,31,-1,-6,South
16,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,10,-1,320,East
17,13,False,False,True,True,East,13,17,13,17,15,17,16,15,8,8,6,2,-1,-75,East
2,11,False,False,True,True,East,6,5,6,9,8,11,14,6,10,6,6,17,13,-1,East
5,12,False,True,True,True,East,9,4,11,6,18,12,22,9,12,12,13,20,1,-1,South
12,7,True,False,True,False,South,1,1,3,1,5,1,14,6,-1,-1,-1,3,3,559,East
9,8,True,True,True,True,South,9,3,11,7,19,12,22,9,5,3,14,14,1,491,East
6,12,False,True,True,True,East,9,3,11,7,19,12,22,9,12,10,13,19,1,-2,South
13,9,False,True,True,True,East,6,3,3,1,5,1,7,1,13,-1,-1,-1,2,578,Stop
20,8,True,True,True,True,East,1,1,3,1,5,1,22,8,-1,-1,-1,3,1,1776,East
