@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
0.073968,0.127492,True,True,True,True,North,True,True,True,True,0.143492,0.117024,-0.346349,0.430238,-0.114921,0.042913,-0.378381,0.427347,East,West,North,West,0.316797,0.208278,-0.172611,-0.256402,0.357647,-3,North
-0.176032,0.194159,True,True,True,True,West,True,True,True,False,0.060159,0.054524,-0.179683,0.430238,-0.059365,-0.074734,-0.628381,-0.429796,Stop,Stop,Stop,Stop,0.180433,-0.137875,0.103251,-0.367513,0.769412,189,West
-0.009365,-0.205841,True,True,False,True,East,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.099414,-0.103645,0.076931,-0.112941,167,South
0.073968,0.127492,True,True,True,False,South,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.000197,0.104709,-0.112941,352,South
-0.176032,-0.005841,True,True,True,True,South,True,True,True,True,0.393492,-0.132976,0.320317,0.117738,0.273968,0.278207,0.121619,0.141633,Stop,Stop,Stop,Stop,0.180433,0.015971,0.2067,0.076931,0.004706,490,South
-0.426032,0.127492,True,True,False,False,South,True,True,True,True,0.060159,0.242024,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,0.089524,0.477509,0.413596,0.438042,-0.112941,-10,South
-0.009365,-0.339175,True,True,True,True,East,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.273968,0.278207,0.121619,0.141633,Stop,Stop,Stop,Stop,-0.228658,-0.25326,0.241182,0.104709,0.004706,1675,North
0.282302,-0.272508,True,False,False,True,East,True,True,True,True,0.476825,0.617024,0.486984,0.617738,-0.00381,0.454678,-0.128381,0.570204,Stop,Stop,Stop,Stop,0.634978,0.362125,0.172217,-0.03418,-0.112941,-7,North
-0.051032,-0.005841,True,True,True,True,South,True,True,True,True,0.143492,0.242024,-0.179683,-0.132262,0.051746,-0.074734,0.321619,-0.144082,North,West,West,North,-0.001385,0.208278,-0.03468,0.21582,-0.112941,-27,South
0.032302,0.260825,True,True,True,True,North,False,True,False,False,-0.273175,-0.257976,0.486984,0.492738,-0.50381,-0.368852,-0.628381,-0.429796,Stop,Stop,Stop,Stop,-0.228658,-0.176337,-0.345025,-0.367513,0.534118,560,East
0.073968,-0.139175,True,True,True,True,West,True,True,False,False,-0.023175,0.179524,-0.013016,0.555238,-0.50381,-0.368852,-0.628381,-0.429796,North,West,Stop,Stop,0.271342,0.285201,-0.345025,-0.367513,0.357647,381,West
0.032302,0.060825,True,True,True,True,Stop,True,True,True,True,0.060159,0.054524,-0.179683,0.430238,-0.114921,-0.074734,-0.328381,0.355918,Stop,Stop,West,North,0.316797,0.131355,-0.172611,-0.228624,0.357647,-1,East
-0.217698,-0.139175,True,True,False,True,South,False,True,True,True,-0.273175,-0.257976,-0.013016,-0.132262,-0.00381,-0.074734,0.221619,-0.286939,Stop,West,West,West,-0.228658,-0.022491,-0.000197,0.243598,-0.112941,163,South
0.115635,-0.205841,True,True,True,True,East,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.207094,-0.006402,-0.112941,346,East
