@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA

12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,Stop,-1
12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,-1,-1,Stop,-2
12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,-2,-1,South,-3
12,9,South,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,10,10,4,4,6,-3,-1,South,-4
12,8,South,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,9,11,3,5,7,-4,-1,East,-5
13,8,East,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,10,12,2,4,6,-5,-1,East,-6
14,8,East,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,13,3,5,5,-6,-1,South,-7
14,7,South,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,10,14,2,6,6,-7,-1,West,-8
13,7,West,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,9,13,1,5,7,-8,-1,West,-9
12,7,West,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,8,12,2,6,8,-9,-1,South,-10
12,6,South,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,7,13,1,7,9,-10,199,East,189
13,6,East,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,8,14,-1,6,8,189,-1,North,188
13,7,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,9,13,-1,5,7,188,-1,North,187
13,8,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,10,12,-1,4,6,187,-1,North,186
13,9,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,11,11,-1,3,5,186,-1,North,185
13,10,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,12,10,-1,2,6,185,-1,North,184
13,11,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,13,9,-1,1,7,184,199,North,383
13,12,North,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,14,8,-1,-1,8,383,-1,West,382
12,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,13,7,-1,-1,9,382,-1,West,381
11,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,12,6,-1,-1,10,381,-1,West,380
10,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,11,5,-1,-1,11,380,-1,West,379
9,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,10,4,-1,-1,12,379,-1,West,378
8,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9,3,-1,-1,13,378,-1,West,377
7,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,8,2,-1,-1,14,377,-1,West,376
6,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,7,1,-1,-1,15,376,199,West,575
5,12,West,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,6,-1,-1,-1,16,575,-1,East,574
6,12,East,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,7,-1,-1,-1,15,574,-1,South,573
6,11,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,6,-1,-1,-1,14,573,-1,South,572
6,10,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,5,-1,-1,-1,13,572,-1,South,571
6,9,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,4,-1,-1,-1,12,571,-1,South,570
6,8,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,3,-1,-1,-1,13,570,-1,West,569
5,8,West,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,2,-1,-1,-1,14,569,-1,South,568
5,7,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,1,-1,-1,-1,15,568,199,South,767
12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,Stop,-1
