@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA

12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,North,-1
12,11,True,True,True,True,True,North,True,True,True,True,4,6,4,12,13,7,13,12,West,West,North,South,13,9,5,1,8,-1,-1,North,-2
12,12,True,True,True,True,True,North,True,True,True,True,4,7,4,11,14,7,13,11,North,South,East,South,13,9,7,3,9,-2,-1,South,-3
12,11,True,True,True,True,True,South,True,True,True,True,4,7,4,11,13,7,13,10,North,South,West,South,12,8,5,3,8,-3,-1,South,-4
12,10,True,True,True,True,True,South,True,True,True,True,4,8,3,11,13,8,13,9,North,West,North,South,10,10,3,3,7,-4,-1,South,-5
12,9,True,True,True,True,True,South,True,True,True,True,4,9,3,12,13,8,13,8,North,North,North,Stop,8,12,2,1,6,-5,199,South,194
12,8,True,True,True,True,True,South,True,True,True,False,5,9,4,12,13,8,7,1,East,East,Stop,Stop,8,12,1,-1,7,194,199,East,393
13,8,True,True,True,True,True,East,True,True,False,False,6,9,4,13,5,1,7,1,East,North,Stop,Stop,8,14,-1,-1,6,393,-1,West,392
12,8,True,True,True,True,True,West,True,True,False,False,6,10,4,12,5,1,7,1,North,South,Stop,Stop,8,12,-1,-1,7,392,-1,West,391
11,8,True,True,True,True,True,West,True,True,False,False,6,10,4,13,5,1,7,1,North,North,Stop,Stop,7,12,-1,-1,8,391,-1,West,390
10,8,True,True,True,True,True,West,True,True,False,False,6,10,4,14,5,1,7,1,North,North,Stop,Stop,6,12,-1,-1,9,390,-1,West,389
9,8,True,True,True,True,True,West,True,True,False,False,6,9,4,13,5,1,7,1,South,South,Stop,Stop,4,10,-1,-1,10,389,-1,West,388
8,8,True,True,True,True,True,West,True,True,False,False,6,10,4,12,5,1,7,1,North,South,Stop,Stop,4,8,-1,-1,11,388,-1,North,387
8,9,True,True,True,True,True,North,True,True,False,False,6,10,3,12,5,1,7,1,North,West,Stop,Stop,3,8,-1,-1,10,387,-1,West,386
7,9,True,True,True,True,True,West,True,True,False,False,6,11,4,12,5,1,7,1,North,East,Stop,Stop,3,6,-1,-1,11,386,-1,North,385
