@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute is_Stop_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,Stop
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,12,6,13,12,Stop,Stop,West,North,11,9,4,4,7,-1,East
13,10,True,True,True,True,True,East,True,True,True,True,5,7,4,12,12,7,13,13,North,West,North,West,11,11,4,4,6,-2,North
13,11,True,True,True,True,True,North,True,True,True,True,6,7,3,12,12,8,12,13,East,West,North,West,11,11,4,3,7,-3,North
13,12,True,True,True,True,True,North,True,True,True,True,6,7,3,13,12,9,12,13,East,North,North,South,12,11,4,1,8,-4,North
13,13,True,True,True,True,True,North,True,True,True,True,6,6,3,13,12,10,12,12,South,North,North,South,14,10,4,3,9,-5,West
12,13,True,True,True,True,True,West,True,True,True,True,5,6,4,13,12,9,12,11,West,East,South,East,14,8,4,3,10,-6,South
12,12,True,True,True,True,True,South,True,True,True,True,4,6,3,13,12,9,13,11,West,West,South,East,14,10,3,2,9,-7,South
12,11,True,True,True,True,True,South,True,True,True,False,5,6,2,13,11,9,13,11,East,West,West,Stop,12,12,3,-1,8,192,East
13,11,True,True,True,True,True,East,True,True,True,False,4,6,3,13,11,8,7,1,West,East,South,Stop,14,12,5,-1,7,191,South
13,10,True,True,True,True,True,South,True,True,True,False,4,6,3,14,12,8,7,1,West,North,East,Stop,13,14,3,-1,6,190,West
12,10,True,True,True,True,True,West,True,True,True,False,4,6,3,14,12,8,7,1,West,North,East,Stop,12,13,2,-1,7,189,South
12,9,True,True,True,True,True,South,True,True,True,False,4,6,3,14,13,8,7,1,West,North,East,Stop,11,14,2,-1,6,188,East
13,9,True,True,True,True,True,East,True,True,True,False,4,6,4,14,14,8,7,1,West,East,East,Stop,12,14,2,-1,5,187,East
14,9,True,True,True,True,True,East,True,True,True,False,5,6,5,14,13,8,7,1,East,East,West,Stop,12,14,2,-1,4,186,East
15,9,True,True,True,True,True,East,True,True,True,False,5,6,6,14,14,8,7,1,East,East,East,Stop,13,14,2,-1,3,185,South
15,8,True,True,True,True,True,South,True,True,False,False,5,7,7,14,5,1,7,1,North,East,Stop,Stop,11,14,-1,-1,4,384,South
15,7,True,True,True,True,True,South,True,True,False,False,4,7,8,14,5,1,7,1,West,East,Stop,Stop,11,14,-1,-1,5,383,West
14,7,True,True,True,True,True,West,True,True,False,False,4,8,8,14,5,1,7,1,North,East,Stop,Stop,11,13,-1,-1,6,382,West
13,7,True,True,True,True,True,West,True,True,False,False,4,8,7,14,5,1,7,1,North,West,Stop,Stop,10,13,-1,-1,7,381,West
12,7,True,True,True,True,True,West,True,True,False,False,4,8,6,14,5,1,7,1,North,West,Stop,Stop,9,13,-1,-1,8,380,West
11,7,True,True,True,True,True,West,True,True,False,False,5,8,7,14,5,1,7,1,East,East,Stop,Stop,7,11,-1,-1,9,379,West
10,7,True,True,True,True,True,West,True,True,False,False,4,8,7,13,5,1,7,1,West,South,Stop,Stop,7,9,-1,-1,10,378,West
9,7,True,True,True,True,True,West,True,True,False,False,5,8,8,13,5,1,7,1,East,East,Stop,Stop,5,7,-1,-1,11,377,West
8,7,True,True,True,True,True,West,True,True,False,False,5,7,8,14,5,1,7,1,South,North,Stop,Stop,3,7,-1,-1,12,376,West
7,7,True,True,True,True,True,West,True,True,False,False,5,8,9,14,5,1,7,1,North,East,Stop,Stop,3,9,-1,-1,13,375,West
6,7,True,True,True,True,True,West,True,True,False,False,5,7,10,14,5,1,7,1,Stop,East,Stop,Stop,1,11,-1,-1,14,374,West
5,7,True,True,True,True,True,West,False,True,False,False,1,1,10,13,5,1,7,1,Stop,South,Stop,Stop,-1,11,-1,-1,15,573,North
5,8,True,True,True,True,True,North,False,True,False,False,1,1,11,13,5,1,7,1,Stop,East,Stop,Stop,-1,11,-1,-1,14,572,East
6,8,True,True,True,True,True,East,False,True,False,False,1,1,11,14,5,1,7,1,Stop,North,Stop,Stop,-1,11,-1,-1,13,571,East
7,8,True,True,True,True,True,East,False,True,False,False,1,1,12,14,5,1,7,1,Stop,East,Stop,Stop,-1,11,-1,-1,12,570,East
8,8,True,True,True,True,True,East,False,True,False,False,1,1,13,14,5,1,7,1,Stop,East,Stop,Stop,-1,11,-1,-1,11,569,North
8,9,True,True,True,True,True,North,False,True,False,False,1,1,12,14,5,1,7,1,Stop,West,Stop,Stop,-1,9,-1,-1,10,568,North
8,10,True,True,True,True,True,North,False,True,False,False,1,1,12,14,5,1,7,1,Stop,West,Stop,Stop,-1,8,-1,-1,11,567,North
8,11,True,True,True,True,True,North,False,True,False,False,1,1,13,14,5,1,7,1,Stop,East,Stop,Stop,-1,8,-1,-1,12,566,East
9,11,True,True,True,True,True,East,False,True,False,False,1,1,13,13,5,1,7,1,Stop,South,Stop,Stop,-1,6,-1,-1,11,565,East
10,11,True,True,True,True,True,East,False,True,False,False,1,1,14,13,5,1,7,1,Stop,East,Stop,Stop,-1,6,-1,-1,10,564,North
10,12,True,True,True,True,True,North,False,True,False,False,1,1,13,13,5,1,7,1,Stop,West,Stop,Stop,-1,4,-1,-1,11,563,East
11,12,True,True,True,True,True,East,False,True,False,False,1,1,13,14,5,1,7,1,Stop,North,Stop,Stop,-1,4,-1,-1,10,562,East
12,12,True,True,True,True,True,East,False,True,False,False,1,1,13,13,5,1,7,1,Stop,South,Stop,Stop,-1,2,-1,-1,9,561,North
12,13,True,True,True,True,True,North,False,True,False,False,1,1,13,13,5,1,7,1,Stop,Stop,Stop,Stop,-1,1,-1,-1,10,560,East
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,Stop
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,-1,Stop
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,-2,East
13,10,True,True,True,True,True,East,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,12,10,4,2,6,-3,North
13,11,True,True,True,True,True,North,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,13,9,5,1,7,-4,North
13,12,True,True,True,True,True,North,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,14,8,6,-1,8,195,West
12,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,13,7,7,-1,9,194,West
11,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,12,6,8,-1,10,193,West
10,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,11,5,9,-1,11,192,West
9,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,10,4,10,-1,12,191,West
8,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,9,3,11,-1,13,190,West
7,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,8,2,12,-1,14,189,West
6,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,7,1,13,-1,15,188,West
5,12,True,True,True,True,True,West,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,6,-1,14,-1,16,387,East
6,12,True,True,True,True,True,East,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,7,-1,13,-1,15,386,South
6,11,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,6,-1,12,-1,14,385,South
6,10,True,True,True,False,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,5,-1,11,-1,13,384,South
6,9,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,4,-1,10,-1,12,383,West
5,9,False,True,True,True,True,West,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,3,-1,11,-1,13,382,South
5,8,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,2,-1,10,-1,14,381,South
5,7,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,1,-1,9,-1,15,380,South
5,6,True,True,True,True,True,South,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,8,-1,16,579,East
6,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,7,-1,15,578,East
7,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,6,-1,14,577,East
8,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,5,-1,13,576,East
9,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,4,-1,12,575,East
10,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,3,-1,11,574,East
11,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,2,-1,10,573,East
12,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,1,-1,9,572,East
1,18,False,True,True,False,True,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,Stop
1,18,False,True,True,False,True,Stop,True,True,True,True,5,10,11,3,16,6,25,7,North,Stop,West,West,12,25,27,34,-1,-1,East
2,18,False,False,True,True,True,East,True,True,True,True,5,9,10,3,17,6,24,7,South,West,East,West,12,23,27,32,-1,-2,East
3,18,False,False,True,True,True,East,True,True,True,True,4,9,10,3,17,6,23,7,West,West,East,West,10,22,26,31,-1,-3,East
4,18,False,False,True,True,True,East,True,True,True,True,4,8,10,4,17,6,23,7,South,North,East,East,10,20,25,31,-1,-4,East
5,18,False,False,True,True,True,East,True,True,True,True,4,8,11,4,16,6,24,7,South,East,West,West,11,20,23,29,-1,-5,East
6,18,False,False,True,True,True,East,True,True,True,True,5,8,11,5,16,6,23,7,East,North,West,North,11,18,22,27,-1,-6,East
7,18,False,False,True,True,True,East,True,True,True,True,5,8,11,5,17,6,23,8,East,North,East,West,12,17,22,25,-1,-7,East
8,18,False,False,True,True,True,East,True,True,True,True,5,7,11,5,18,6,22,8,South,North,East,West,14,16,22,24,-1,-8,East
9,18,False,False,True,True,True,East,True,True,True,True,6,7,10,5,18,5,22,8,East,West,South,West,14,14,22,23,-1,-9,East
10,18,False,False,True,True,True,East,True,True,True,True,5,7,10,4,18,5,22,8,West,South,South,East,16,14,21,23,-1,-10,East
11,18,False,False,True,True,True,East,True,True,True,True,5,6,9,4,17,5,23,8,South,West,West,West,18,16,19,21,-1,-11,East
12,18,False,False,True,True,True,East,True,True,True,True,5,6,8,4,17,5,22,8,South,West,West,East,19,18,18,21,-1,-12,East
13,18,False,False,True,True,True,East,True,True,True,True,5,7,8,4,17,4,23,8,North,West,South,West,19,19,18,19,-1,-13,East
14,18,False,True,True,True,True,East,True,True,True,True,4,7,9,4,17,5,22,8,West,East,North,East,21,19,16,19,-1,-14,South
14,17,True,True,True,False,True,South,True,True,True,True,4,8,8,4,17,5,23,8,North,West,North,East,19,19,15,19,-1,-15,South
14,16,True,True,True,True,True,South,True,True,True,True,5,8,8,4,17,6,24,8,East,West,North,South,17,18,13,19,-1,-16,West
13,16,False,True,True,True,True,West,True,True,True,True,5,9,8,4,17,6,24,7,North,West,North,East,15,17,14,21,-1,-17,West
