@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.Randomize-S7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
13,11,East,True,False,False,False,2,9,3,1,5,1,7,1,West,Stop,Stop,Stop,13,-1,-1,-1,-1,657,East
12,9,South,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,10,10,4,4,6,-3,South
14,3,Stop,True,True,True,True,10,15,10,15,13,16,17,15,Stop,West,West,West,16,16,14,14,-1,-3,Stop
12,11,East,True,False,False,True,14,4,3,1,5,1,18,9,East,Stop,Stop,North,9,-1,-1,7,3,378,East
27,2,South,False,False,False,True,1,1,3,1,5,1,26,4,Stop,Stop,Stop,West,-1,-1,-1,4,-1,527,Stop
19,13,North,True,True,True,True,15,17,13,16,15,19,12,18,East,South,South,North,8,9,10,12,-1,-46,North
14,6,South,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,3,12,-1,349,East
9,4,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,3,10,19,-1,170,South
5,7,South,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,1,-1,-1,-1,15,568,South
12,8,East,False,True,True,True,1,1,14,7,23,11,15,8,Stop,South,South,North,-1,3,14,4,1,1766,East
5,8,West,True,False,False,False,1,6,3,1,5,1,7,1,South,Stop,Stop,Stop,6,-1,-1,-1,-1,644,West
5,9,North,True,False,True,True,10,4,3,1,9,11,16,7,East,Stop,East,East,10,-1,6,14,8,188,North
17,8,East,False,False,True,False,1,1,3,1,22,11,7,1,Stop,Stop,West,Stop,-1,-1,8,-1,1,2457,East
4,9,North,True,True,True,True,5,7,9,5,15,4,25,8,South,West,West,South,3,9,16,23,-1,-20,East
15,9,East,True,False,False,True,13,4,3,1,5,1,18,10,West,Stop,Stop,South,7,-1,-1,3,8,473,East
5,9,East,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,5,1,5,12,8,-8,East
19,14,North,True,True,True,True,15,18,13,17,15,19,12,18,North,North,South,North,8,9,9,12,-1,-47,North
6,7,East,False,True,True,True,1,1,11,5,13,4,25,6,Stop,East,North,East,-1,7,10,21,-1,176,Stop
11,3,South,True,False,True,True,9,3,3,1,19,12,22,9,Stop,Stop,Stop,Stop,2,-1,17,17,1,982,West
13,11,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,13,9,-1,1,7,184,North
10,12,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,11,5,-1,-1,11,380,West
9,5,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,4,9,18,-1,171,South
15,8,East,True,True,True,True,5,5,7,10,13,4,12,11,North,South,West,South,13,10,6,5,4,-8,East
6,5,West,True,True,True,True,6,7,14,8,21,11,19,7,North,East,East,South,2,11,21,14,1,781,North
5,12,West,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,6,-1,-1,-1,16,575,East
10,6,South,True,False,False,True,6,5,3,1,5,1,14,6,Stop,Stop,Stop,Stop,5,-1,-1,4,8,480,South
10,8,West,True,False,False,False,3,8,3,1,5,1,7,1,East,Stop,Stop,Stop,7,-1,-1,-1,-1,649,West
27,2,South,False,False,False,True,1,1,3,1,5,1,25,4,Stop,Stop,Stop,East,-1,-1,-1,3,-1,525,North
18,6,East,False,False,False,True,1,1,3,1,5,1,25,7,Stop,Stop,Stop,Stop,-1,-1,-1,8,-1,545,East
11,12,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,12,19,-1,358,East
11,12,North,False,False,True,True,1,1,3,1,20,4,26,5,Stop,Stop,South,South,-1,-1,17,23,-1,357,East
5,8,South,False,True,True,True,1,1,10,4,14,3,24,7,Stop,East,South,South,-1,9,14,21,-1,178,South
9,11,East,True,False,False,True,6,5,3,1,5,1,14,6,Stop,Stop,Stop,Stop,9,-1,-1,10,6,386,East
12,10,Stop,True,True,True,True,5,5,6,12,13,5,13,12,South,East,South,South,12,8,6,2,7,-1,Stop
12,6,North,True,True,True,True,4,5,9,13,15,7,11,8,East,South,East,East,9,10,4,2,-1,75,North
9,5,East,True,True,True,True,8,4,12,7,19,12,22,7,North,South,North,West,2,5,17,14,1,486,East
22,6,East,False,False,False,True,1,1,3,1,5,1,25,7,Stop,Stop,Stop,Stop,-1,-1,-1,4,-1,541,East
7,11,East,True,False,True,True,13,5,3,1,11,11,18,10,East,Stop,East,North,12,-1,4,12,8,183,East
21,9,North,True,True,True,True,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,17,14,13,10,-1,-18,North
14,10,South,True,False,False,True,13,4,3,1,5,1,18,11,West,Stop,Stop,South,7,-1,-1,4,8,475,South
16,15,East,True,True,False,True,10,15,13,15,5,1,17,15,Stop,Stop,Stop,Stop,6,3,-1,1,-1,163,East
26,3,West,False,False,False,True,1,1,3,1,5,1,26,4,Stop,Stop,Stop,East,-1,-1,-1,2,-1,523,West
26,5,North,True,True,True,True,14,16,14,16,15,18,13,16,North,East,North,South,23,23,24,23,-1,-28,Stop
9,7,North,False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,6,8,670,North
26,5,North,True,True,True,True,13,16,14,17,15,19,13,15,West,North,North,East,24,24,25,22,-1,-31,West
1,9,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,16,19,26,-1,-11,South
17,15,East,True,True,False,False,10,15,13,15,5,1,7,1,Stop,Stop,Stop,Stop,7,4,-1,-1,-1,362,West
8,5,West,True,False,False,True,6,5,3,1,5,1,14,6,Stop,Stop,Stop,Stop,2,-1,-1,7,11,477,West
3,8,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,13,16,23,-1,-18,North
1,10,South,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,10,6,8,17,13,-3,South
19,6,East,False,False,False,True,1,1,3,1,5,1,25,7,Stop,Stop,Stop,Stop,-1,-1,-1,7,-1,544,East
18,8,East,False,False,True,False,1,1,3,1,23,11,7,1,Stop,Stop,East,Stop,-1,-1,8,-1,1,2456,East
19,11,West,True,True,True,True,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,13,10,9,6,-1,-22,North
23,8,North,False,False,True,True,1,1,3,1,19,12,22,9,Stop,Stop,Stop,Stop,-1,-1,8,2,1,1661,North
11,6,North,False,False,True,True,1,1,3,1,19,4,27,4,Stop,Stop,East,East,-1,-1,10,19,-1,363,North
1,6,South,True,False,False,False,3,6,3,1,5,1,7,1,South,Stop,Stop,Stop,2,-1,-1,-1,-1,638,East
9,5,East,False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,6,10,672,North
13,7,North,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,9,13,-1,5,7,188,North
12,8,South,True,True,True,True,6,4,5,11,14,6,12,10,East,South,South,East,10,10,4,3,7,-5,East
13,8,East,True,True,True,True,5,4,6,11,14,5,13,10,West,East,South,West,12,10,4,3,6,-6,East
20,11,West,True,True,True,True,14,17,14,17,15,20,12,17,North,North,West,East,12,12,14,13,-1,-43,West
14,7,West,True,True,True,True,4,3,9,13,14,6,10,8,South,South,East,West,14,11,1,5,-1,80,West
13,6,East,True,True,False,True,5,6,5,12,5,1,13,12,Stop,Stop,Stop,Stop,8,14,-1,6,8,189,North
7,5,West,True,True,True,True,6,6,13,8,20,11,19,7,North,North,East,West,2,9,19,14,1,682,West
14,17,West,False,True,False,True,1,1,14,15,5,1,10,20,Stop,East,Stop,West,-1,2,-1,8,-1,345,South
1,6,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,13,16,25,-1,-14,East
18,7,South,True,False,False,False,14,6,3,1,5,1,7,1,South,Stop,Stop,Stop,5,-1,-1,-1,9,668,West
13,9,North,True,True,False,False,2,8,12,12,5,1,7,1,North,North,Stop,Stop,12,4,-1,-1,-1,463,North
1,12,South,True,True,True,True,5,8,9,5,16,4,23,9,South,West,West,East,8,15,23,26,-1,-8,South
27,3,North,False,False,False,True,1,1,3,1,5,1,26,4,Stop,Stop,Stop,East,-1,-1,-1,2,-1,524,West
13,12,East,False,False,True,True,1,1,3,1,19,4,27,4,Stop,Stop,West,South,-1,-1,14,23,-1,355,South
25,3,East,True,True,True,True,13,15,13,15,14,15,14,16,East,South,South,South,24,24,23,23,-1,-17,East
24,6,East,False,False,False,True,1,1,3,1,5,1,25,7,Stop,Stop,Stop,Stop,-1,-1,-1,2,-1,539,East
5,7,East,True,False,True,True,9,4,3,1,9,11,15,8,North,Stop,East,South,7,-1,8,10,6,190,North
6,6,South,False,True,True,True,1,1,10,4,13,4,25,6,Stop,South,North,South,-1,6,9,20,-1,174,East
13,7,East,True,True,True,False,2,5,11,13,15,6,7,1,West,East,South,Stop,13,8,3,-1,-1,273,East
26,5,North,True,True,True,True,14,16,13,15,13,17,14,15,North,East,West,West,23,23,25,23,-1,-24,Stop
14,9,South,True,False,False,True,13,4,3,1,5,1,18,10,West,Stop,Stop,South,6,-1,-1,5,7,474,East
10,5,East,False,True,True,True,1,1,11,3,16,3,25,5,Stop,East,East,South,-1,3,8,16,-1,169,East
8,11,East,True,False,True,True,14,5,3,1,12,11,18,10,East,Stop,East,North,12,-1,4,10,7,182,East
15,3,East,True,True,True,True,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,17,14,13,14,-1,-6,North
4,11,South,True,True,True,True,10,3,11,8,19,12,23,9,East,West,North,East,14,10,16,21,1,-3,South
7,10,East,True,True,True,True,9,3,11,7,19,12,22,9,Stop,Stop,Stop,Stop,9,7,14,16,1,293,East
1,7,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,14,17,24,-1,-13,South
19,3,East,True,True,True,True,10,15,13,15,14,16,14,15,West,East,East,North,21,18,18,18,-1,-11,East
6,10,North,True,False,True,True,6,5,3,1,8,11,14,6,Stop,Stop,Stop,Stop,5,-1,3,12,8,190,North
8,10,East,True,True,True,True,8,4,12,8,21,12,23,11,North,South,East,North,6,6,15,16,1,292,South
2,9,East,True,True,True,True,7,4,3,8,9,11,16,7,East,West,East,East,10,2,9,16,11,-5,East
26,5,North,True,True,True,True,14,15,12,15,14,17,14,15,East,West,North,West,22,24,24,22,-1,-23,Stop
14,3,Stop,True,True,True,True,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,16,13,12,15,-1,-1,Stop
15,9,South,True,True,True,True,4,3,9,13,13,6,11,8,South,North,North,East,17,10,5,4,-1,83,South
11,5,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,16,-1,365,North
11,20,West,False,False,False,True,1,1,3,1,5,1,9,21,Stop,Stop,Stop,South,-1,-1,-1,2,-1,534,West
8,7,East,True,True,True,True,8,9,14,8,20,12,17,7,North,West,West,West,2,7,17,9,2,977,East
6,7,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,9,12,19,-1,176,South
7,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,7,10,19,-1,174,East
23,6,East,False,False,False,True,1,1,3,1,5,1,28,3,Stop,Stop,Stop,West,-1,-1,-1,7,-1,535,East
27,3,North,False,False,False,True,1,1,3,1,5,1,26,3,Stop,Stop,Stop,North,-1,-1,-1,2,-1,515,North
21,10,North,False,False,True,False,1,1,3,1,22,11,7,1,Stop,Stop,West,Stop,-1,-1,2,-1,1,2751,North
17,3,East,True,True,True,True,11,15,12,15,14,16,15,15,East,East,East,West,18,17,16,14,-1,-9,East
12,10,Stop,True,True,True,True,5,4,6,11,13,6,13,11,South,South,North,South,13,7,5,2,7,-2,Stop
13,7,West,True,True,True,True,4,4,8,13,15,6,10,8,North,West,East,East,12,11,3,3,-1,79,West
4,12,Stop,True,True,True,True,10,3,12,8,19,11,23,9,East,North,South,East,15,12,16,22,2,-2,South
1,14,South,True,True,True,True,5,9,10,5,17,5,23,8,West,North,South,North,9,18,25,27,-1,-6,South
6,6,North,True,True,True,True,7,7,14,8,21,12,19,6,East,East,North,North,2,10,21,14,1,780,North
18,6,North,True,True,True,True,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,17,14,13,10,-1,-12,North
14,16,South,False,False,False,True,1,1,3,1,5,1,9,20,Stop,Stop,Stop,East,-1,-1,-1,8,-1,544,South
14,15,South,False,False,False,True,1,1,3,1,5,1,10,20,Stop,Stop,Stop,West,-1,-1,-1,10,-1,543,Stop
4,9,East,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,6,2,6,13,9,-7,East
11,10,East,False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,7,3,662,North
25,4,North,False,False,False,True,1,1,3,1,5,1,27,4,Stop,Stop,Stop,South,-1,-1,-1,3,-1,521,East
19,12,North,True,True,True,True,15,17,13,16,15,19,12,17,East,South,South,North,9,10,11,13,-1,-45,North
16,9,East,True,False,False,True,13,5,3,1,5,1,18,9,North,Stop,Stop,South,7,-1,-1,3,9,472,East
11,10,East,False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,7,3,664,Stop
20,6,East,False,False,False,True,1,1,3,1,5,1,28,4,Stop,Stop,Stop,South,-1,-1,-1,11,-1,538,East
17,4,East,False,False,True,True,1,1,3,1,21,6,28,3,Stop,Stop,East,West,-1,-1,6,11,-1,343,East
3,8,West,True,False,False,False,1,7,3,1,5,1,7,1,North,Stop,Stop,Stop,3,-1,-1,-1,-1,642,West
5,8,West,True,False,False,False,5,6,3,1,5,1,7,1,Stop,Stop,Stop,Stop,2,-1,-1,-1,14,569,South
13,6,South,False,False,True,True,1,1,3,1,18,4,28,2,Stop,Stop,North,West,-1,-1,7,18,-1,349,South
21,9,North,False,False,True,False,1,1,3,1,22,11,7,1,Stop,Stop,West,Stop,-1,-1,3,-1,1,2652,North
6,7,East,False,True,True,True,1,1,10,5,13,3,26,6,Stop,West,South,West,-1,6,11,20,-1,175,South
