@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.Randomize-S7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
0.461538,0.5,East,True,False,False,False,0.066667,0.470588,0.076923,0,0,0,0,0,West,Stop,Stop,Stop,0.518519,0,0,0,0,0.244054,East
0.423077,0.388889,South,True,True,True,True,0.266667,0.294118,0.230769,0.647059,0.444444,0.263158,0.285714,0.52381,Stop,Stop,Stop,Stop,0.407407,0.423077,0.166667,0.138889,0.411765,0.016546,South
0.5,0.055556,Stop,True,True,True,True,0.6,0.823529,0.615385,0.823529,0.444444,0.789474,0.47619,0.666667,Stop,West,West,West,0.62963,0.653846,0.5,0.416667,0,0.016546,Stop
0.423077,0.5,East,True,False,False,True,0.866667,0.176471,0.076923,0,0,0,0.52381,0.380952,East,Stop,Stop,North,0.37037,0,0,0.222222,0.235294,0.14788,East
1,0,South,False,False,False,True,0,0,0.076923,0,0,0,0.904762,0.142857,Stop,Stop,Stop,West,0,0,0,0.138889,0,0.199242,Stop
0.692308,0.611111,North,True,True,True,True,0.933333,0.941176,0.846154,0.882353,0.555556,0.947368,0.238095,0.809524,East,South,South,North,0.333333,0.384615,0.366667,0.361111,0,0.001724,North
0.5,0.222222,South,False,False,True,True,0,0,0.076923,0,0.666667,0.263158,0.857143,0.285714,Stop,Stop,Stop,Stop,0,0,0.133333,0.361111,0,0.137883,East
0.307692,0.111111,South,False,True,True,True,0,0,0.692308,0.117647,0.666667,0.263158,0.857143,0.285714,Stop,Stop,Stop,Stop,0,0.153846,0.366667,0.555556,0,0.076181,South
0.153846,0.277778,South,True,False,False,False,0.266667,0.294118,0.076923,0,0,0,0,0,Stop,Stop,Stop,Stop,0.074074,0,0,0,0.941176,0.213375,South
0.423077,0.333333,East,False,True,True,True,0,0,0.923077,0.352941,1,0.526316,0.380952,0.333333,Stop,South,South,North,0,0.153846,0.5,0.138889,0.117647,0.626336,East
0.153846,0.333333,West,True,False,False,False,0,0.294118,0.076923,0,0,0,0,0,South,Stop,Stop,Stop,0.259259,0,0,0,0,0.239573,West
0.153846,0.388889,North,True,False,True,True,0.6,0.176471,0.076923,0,0.222222,0.526316,0.428571,0.285714,East,Stop,East,East,0.407407,0,0.233333,0.416667,0.529412,0.082385,North
0.615385,0.333333,East,False,False,True,False,0,0,0.076923,0,0.944444,0.526316,0,0,Stop,Stop,West,Stop,0,0,0.3,0,0.117647,0.864529,East
0.115385,0.388889,North,True,True,True,True,0.266667,0.352941,0.538462,0.235294,0.555556,0.157895,0.857143,0.333333,South,West,West,South,0.148148,0.384615,0.566667,0.666667,0,0.010686,East
0.538462,0.388889,East,True,False,False,True,0.8,0.176471,0.076923,0,0,0,0.52381,0.428571,West,Stop,Stop,South,0.296296,0,0,0.111111,0.529412,0.180627,East
0.153846,0.388889,East,True,True,True,True,0.333333,0.235294,0.307692,0.470588,0.166667,0.526316,0.333333,0.238095,Stop,Stop,Stop,Stop,0.222222,0.076923,0.2,0.361111,0.529412,0.014822,East
0.692308,0.666667,North,True,True,True,True,0.933333,1,0.846154,0.941176,0.555556,0.947368,0.238095,0.809524,North,North,South,North,0.333333,0.384615,0.333333,0.361111,0,0.001379,North
0.192308,0.277778,East,False,True,True,True,0,0,0.692308,0.235294,0.444444,0.157895,0.857143,0.238095,Stop,East,North,East,0,0.307692,0.366667,0.611111,0,0.078249,Stop
