@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA

12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,Stop,-1
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,12,6,13,12,Stop,Stop,West,North,11,9,4,4,7,-1,-1,East,-2
13,10,True,True,True,True,True,East,True,True,True,True,5,7,4,12,12,7,13,13,North,West,North,West,11,11,4,4,6,-2,-1,North,-3
13,11,True,True,True,True,True,North,True,True,True,True,6,7,3,12,12,8,12,13,East,West,North,West,11,11,4,3,7,-3,-1,North,-4
13,12,True,True,True,True,True,North,True,True,True,True,6,7,3,13,12,9,12,13,East,North,North,South,12,11,4,1,8,-4,-1,North,-5
13,13,True,True,True,True,True,North,True,True,True,True,6,6,3,13,12,10,12,12,South,North,North,South,14,10,4,3,9,-5,-1,West,-6
12,13,True,True,True,True,True,West,True,True,True,True,5,6,4,13,12,9,12,11,West,East,South,East,14,8,4,3,10,-6,-1,South,-7
12,12,True,True,True,True,True,South,True,True,True,True,4,6,3,13,12,9,13,11,West,West,South,East,14,10,3,2,9,-7,-1,South,-8
12,11,True,True,True,True,True,South,True,True,True,False,5,6,2,13,11,9,13,11,East,West,West,Stop,12,12,3,-1,8,192,-1,East,191
13,11,True,True,True,True,True,East,True,True,True,False,4,6,3,13,11,8,7,1,West,East,South,Stop,14,12,5,-1,7,191,-1,South,190
13,10,True,True,True,True,True,South,True,True,True,False,4,6,3,14,12,8,7,1,West,North,East,Stop,13,14,3,-1,6,190,-1,West,189
12,10,True,True,True,True,True,West,True,True,True,False,4,6,3,14,12,8,7,1,West,North,East,Stop,12,13,2,-1,7,189,-1,South,188
12,9,True,True,True,True,True,South,True,True,True,False,4,6,3,14,13,8,7,1,West,North,East,Stop,11,14,2,-1,6,188,-1,East,187
13,9,True,True,True,True,True,East,True,True,True,False,4,6,4,14,14,8,7,1,West,East,East,Stop,12,14,2,-1,5,187,-1,East,186
14,9,True,True,True,True,True,East,True,True,True,False,5,6,5,14,13,8,7,1,East,East,West,Stop,12,14,2,-1,4,186,-1,East,185
15,9,True,True,True,True,True,East,True,True,True,False,5,6,6,14,14,8,7,1,East,East,East,Stop,13,14,2,-1,3,185,-1,South,184
15,8,True,True,True,True,True,South,True,True,False,False,5,7,7,14,5,1,7,1,North,East,Stop,Stop,11,14,-1,-1,4,384,-1,South,383
15,7,True,True,True,True,True,South,True,True,False,False,4,7,8,14,5,1,7,1,West,East,Stop,Stop,11,14,-1,-1,5,383,-1,West,382
14,7,True,True,True,True,True,West,True,True,False,False,4,8,8,14,5,1,7,1,North,East,Stop,Stop,11,13,-1,-1,6,382,-1,West,381
13,7,True,True,True,True,True,West,True,True,False,False,4,8,7,14,5,1,7,1,North,West,Stop,Stop,10,13,-1,-1,7,381,-1,West,380
