@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21,23-24,29,31,33-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
1,10,True,True,False,False,South,5,9,11,3,17,6,25,7,5,17,20,27,-11,South
4,12,False,True,True,True,Stop,9,3,11,7,19,12,22,9,14,12,15,21,0,Stop
13,9,True,True,True,True,East,4,6,4,14,14,8,7,1,12,14,2,-1,187,East
9,8,True,True,True,True,West,1,1,3,1,23,12,19,8,-1,-1,18,11,2368,North
5,6,True,True,True,True,South,1,1,3,1,13,6,7,1,-1,-1,8,-1,579,East
15,8,True,True,True,True,South,5,7,7,14,5,1,7,1,11,14,-1,-1,384,South
10,6,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,4,7,16,172,South
18,4,True,True,True,True,West,1,1,3,1,5,1,19,3,-1,-1,-1,1,521,South
1,6,True,True,True,False,South,5,9,11,3,17,6,25,7,7,13,16,25,-15,East
14,3,False,False,True,True,Stop,10,15,13,15,14,15,17,15,16,13,12,15,0,Stop
13,9,True,True,True,False,South,1,1,3,1,5,1,20,4,-1,-1,-1,11,538,South
16,15,False,False,True,True,West,13,15,3,1,5,1,7,1,3,-1,-1,-1,565,West
12,12,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,11,18,354,East
6,8,True,True,True,True,East,1,1,11,14,5,1,7,1,-1,11,-1,-1,571,East
14,5,True,True,False,True,East,1,1,3,1,5,1,20,5,-1,-1,-1,7,533,Stop
11,7,True,True,True,True,East,9,3,3,1,19,12,22,9,6,-1,13,13,984,West
9,6,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,5,8,17,169,East
7,10,True,True,True,True,South,9,3,11,7,19,12,22,9,9,7,14,16,391,South
1,8,True,True,False,False,South,5,9,11,3,17,6,25,7,5,15,18,25,-13,South
