@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21-24,29,31,33-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
4,7,True,True,True,True,North,5,7,11,4,22,6,28,4,1,10,19,27,-16,East
5,11,True,True,True,True,South,8,4,11,6,18,12,22,9,10,11,14,18,98,South
16,5,False,False,True,True,East,10,15,13,15,14,15,17,15,16,13,12,11,-4,East
12,13,False,False,True,True,West,14,15,16,15,15,15,15,15,4,6,5,5,-30,West
17,13,False,False,True,True,East,13,16,17,15,12,17,12,15,7,2,9,7,-37,East
5,4,True,True,False,True,South,1,1,8,4,23,6,27,3,-1,3,20,24,178,South
6,6,True,False,True,True,South,1,1,9,3,21,6,28,3,-1,6,15,26,181,West
3,5,False,True,True,True,West,1,1,3,1,8,11,14,6,-1,-1,11,12,382,West
12,12,True,True,True,True,North,4,7,4,11,14,7,13,11,13,9,7,3,-2,South
15,3,True,False,True,True,East,10,15,13,15,14,15,17,15,17,14,13,14,-1,North
17,7,True,True,True,True,East,1,1,3,1,19,8,23,8,-1,-1,3,8,1480,East
19,13,True,True,False,True,South,10,15,13,15,14,15,17,15,11,8,7,4,-23,West
13,11,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,9,16,351,South
8,6,True,True,True,True,West,5,6,5,12,5,1,7,1,3,9,-1,-1,386,West
13,6,True,True,True,True,East,1,1,3,1,19,10,23,10,-1,-1,10,15,1185,East
19,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,7,503,East
8,5,True,True,True,False,South,1,1,11,3,17,6,25,7,-1,5,10,19,168,East
9,8,True,True,True,True,West,6,9,4,13,5,1,7,1,4,10,-1,-1,389,West
11,7,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,14,359,North
11,13,False,False,True,True,East,13,16,15,15,11,20,17,15,5,6,7,8,-53,East
13,6,True,True,True,True,South,5,6,5,12,5,1,7,1,8,14,-1,-1,391,West
14,3,False,False,True,True,Stop,10,15,13,15,14,15,17,15,16,13,12,15,0,East
8,8,True,True,True,False,South,5,9,11,3,17,6,25,7,4,8,11,18,-17,South
5,12,False,True,True,True,East,9,4,11,6,18,12,22,9,12,12,13,20,-1,South
1,7,True,True,True,False,North,1,1,3,1,8,11,14,6,-1,-1,11,14,378,East
5,6,True,True,True,True,West,1,1,5,12,5,1,7,1,-1,6,-1,-1,583,North
17,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,2,9,338,West
18,13,False,False,True,True,East,12,17,12,17,15,17,17,15,10,10,7,4,-76,East
13,12,False,True,True,True,East,1,1,3,1,17,6,25,7,-1,-1,10,17,352,South
16,13,False,False,True,True,East,13,15,14,15,12,17,16,15,5,4,8,3,-58,East
6,7,True,True,False,True,South,1,1,11,3,17,6,25,7,-1,9,12,19,172,South
8,6,True,True,True,False,South,6,5,3,1,8,11,14,6,3,-1,5,6,188,South
13,13,False,False,True,True,West,13,15,14,15,11,17,15,15,2,3,6,4,-65,West
19,17,False,True,False,True,North,11,20,12,18,15,19,16,15,11,8,6,4,-81,West
14,8,True,True,True,True,North,9,4,3,1,5,1,7,1,9,-1,-1,-1,565,West
9,4,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,18,18,1479,East
15,9,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,7,7,1668,East
19,8,True,True,True,True,East,1,1,3,1,5,1,23,8,-1,-1,-1,3,1677,East
14,15,True,False,True,True,South,1,1,3,1,5,1,17,15,-1,-1,-1,3,506,East
19,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,7,315,West
2,6,False,True,True,True,East,5,7,11,4,21,6,27,3,4,11,19,28,-13,East
6,12,False,False,True,True,East,5,9,11,3,17,6,25,7,4,14,17,24,-11,East
14,7,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,4,11,309,South
12,9,False,True,True,True,North,7,3,3,1,5,1,7,1,11,-1,-1,-1,579,East
13,13,False,False,True,True,West,10,15,13,15,14,15,17,15,5,2,3,6,-29,West
13,10,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,8,15,350,South
19,8,False,False,True,True,East,10,15,13,15,14,15,17,15,16,13,12,9,-10,East
21,10,True,True,False,False,North,14,16,11,15,16,15,15,15,13,15,10,10,-14,North
8,6,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,6,9,18,169,South
1,17,True,True,False,False,South,5,8,11,3,17,6,25,7,13,24,27,33,-1,South
13,9,True,True,True,False,West,1,1,3,1,17,6,25,7,-1,-1,7,14,332,North
15,15,False,False,True,True,East,10,15,3,1,5,1,17,15,5,-1,-1,2,352,East
7,9,True,True,True,True,West,6,11,4,12,5,1,7,1,3,6,-1,-1,386,North
21,8,True,True,False,True,East,13,16,13,15,16,15,16,15,16,15,12,13,-12,North
17,11,True,True,True,True,South,1,1,3,1,27,4,24,5,-1,-1,17,14,355,East
8,9,True,True,True,False,South,5,9,11,3,17,6,25,7,3,9,12,19,-16,South
11,6,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,6,15,360,North
10,13,False,False,True,True,West,14,15,14,15,12,17,15,15,6,6,6,7,-68,East
10,3,True,False,True,True,South,1,1,11,3,17,6,25,7,-1,1,10,19,164,East
17,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,9,344,East
18,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,8,314,West
14,13,False,False,True,True,East,14,15,14,15,12,18,16,15,2,2,7,3,-56,East
5,7,True,True,True,True,South,6,6,10,7,17,11,22,9,2,5,16,20,394,South
4,11,False,False,True,True,East,6,5,6,9,8,11,14,6,8,4,4,15,-3,East
18,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,8,343,East
7,6,False,False,True,True,West,5,9,11,3,17,6,25,7,5,7,10,19,-20,West
12,8,True,True,True,True,West,6,10,4,12,5,1,7,1,8,12,-1,-1,392,West
12,9,False,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,5,561,South
18,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,8,504,East
19,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,7,317,East
9,11,False,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,10,566,East
