@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA

12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,North,-1
12,11,North,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,12,8,6,2,8,-1,-1,North,-2
12,12,North,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,13,7,7,1,9,-2,199,East,197
13,12,East,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,14,8,6,-1,8,197,-1,South,196
13,11,South,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,13,9,5,-1,7,196,-1,South,195
13,10,South,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,12,10,4,-1,6,195,-1,South,194
13,9,South,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,11,11,3,-1,5,194,-1,South,193
13,8,South,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,10,12,2,-1,6,193,-1,South,192
13,7,South,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,9,13,1,-1,7,192,199,South,391
13,6,South,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,8,14,-1,-1,8,391,-1,West,390
12,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,7,13,-1,-1,9,390,-1,West,389
11,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,6,12,-1,-1,10,389,-1,West,388
10,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,5,11,-1,-1,11,388,-1,West,387
9,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,4,10,-1,-1,12,387,-1,West,386
8,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,3,9,-1,-1,13,386,-1,West,385
7,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,2,8,-1,-1,14,385,-1,West,384
6,6,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,1,7,-1,-1,15,384,199,West,583
5,6,West,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,6,-1,-1,16,583,-1,North,582
5,7,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,5,-1,-1,15,582,-1,North,581
5,8,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,14,581,-1,North,580
5,9,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,3,-1,-1,13,580,-1,East,579
6,9,East,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,12,579,-1,North,578
6,10,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,3,-1,-1,13,578,-1,North,577
6,11,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,2,-1,-1,14,577,-1,North,576
6,12,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,1,-1,-1,15,576,199,West,775
12,10,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,North,-1
12,11,North,True,True,True,True,5,6,5,11,13,6,13,12,Stop,South,Stop,North,12,7,6,3,8,-1,-1,North,-2
12,12,North,True,True,True,True,6,6,4,11,13,7,13,13,East,West,North,North,12,9,6,2,9,-2,-1,North,-3
12,13,North,True,True,True,True,6,7,3,11,14,7,13,13,North,West,East,South,12,11,8,2,10,-3,-1,East,-4
13,13,East,True,True,True,True,6,6,3,12,14,6,13,12,South,North,South,West,14,11,8,2,9,-4,-1,South,-5
13,12,South,True,True,True,True,6,5,3,13,14,5,12,12,South,North,South,West,14,11,8,2,8,-5,-1,West,-6
12,12,West,True,True,True,True,6,5,3,13,14,6,11,12,South,North,North,Stop,13,10,8,1,9,-6,199,West,193
11,12,West,True,True,True,False,6,6,3,12,14,5,7,1,North,South,South,Stop,11,8,10,-1,10,193,-1,West,192
10,12,West,True,True,True,False,7,6,3,12,14,4,7,1,East,South,South,Stop,9,7,12,-1,11,192,-1,West,191
9,12,West,True,True,True,False,7,5,4,12,15,4,7,1,South,East,East,Stop,9,5,14,-1,12,191,-1,West,190
8,12,West,True,True,True,False,7,4,4,11,15,4,7,1,South,South,East,Stop,9,5,15,-1,13,190,-1,West,189
7,12,West,True,True,True,False,7,5,5,11,16,4,7,1,North,East,East,Stop,7,3,17,-1,14,189,-1,West,188
6,12,West,True,True,True,False,6,5,5,11,15,4,7,1,West,East,West,Stop,7,2,17,-1,15,188,-1,South,187
6,11,South,True,True,True,False,6,6,4,11,14,4,7,1,North,West,West,Stop,5,2,15,-1,14,187,-1,West,186
5,11,West,True,False,True,False,6,6,3,1,13,4,7,1,North,Stop,West,Stop,6,-1,15,-1,15,386,-1,West,385
4,11,West,True,False,True,False,7,6,3,1,13,4,7,1,East,Stop,West,Stop,8,-1,16,-1,16,385,-1,West,384
3,11,West,True,False,True,False,7,7,3,1,13,3,7,1,North,Stop,South,Stop,8,-1,18,-1,17,384,-1,West,383
2,11,West,True,False,True,False,7,7,3,1,14,3,7,1,North,Stop,East,Stop,9,-1,20,-1,18,383,-1,Stop,382
2,11,West,True,False,True,False,7,6,3,1,14,3,7,1,South,Stop,East,Stop,10,-1,20,-1,18,382,-1,West,381
1,11,West,True,False,True,False,7,7,3,1,15,3,7,1,North,Stop,East,Stop,10,-1,22,-1,19,381,-1,North,380
1,12,North,True,False,True,False,8,7,3,1,16,3,7,1,East,Stop,East,Stop,12,-1,24,-1,20,380,-1,East,379
2,12,East,True,False,True,False,8,8,3,1,16,4,7,1,North,Stop,North,Stop,10,-1,22,-1,19,379,-1,East,378
3,12,East,True,False,True,False,7,8,3,1,16,4,7,1,West,Stop,North,Stop,8,-1,21,-1,18,378,-1,South,377
3,11,South,True,False,True,False,7,8,3,1,16,3,7,1,West,Stop,South,Stop,7,-1,21,-1,17,377,-1,East,376
4,11,East,True,False,True,False,8,8,3,1,16,3,7,1,East,Stop,South,Stop,7,-1,20,-1,16,376,-1,East,375
5,11,East,True,False,True,False,8,7,3,1,15,3,7,1,South,Stop,West,Stop,7,-1,18,-1,15,375,-1,East,374
6,11,East,True,False,True,False,7,7,3,1,15,3,7,1,West,Stop,West,Stop,5,-1,17,-1,14,374,-1,South,373
6,10,South,True,False,True,False,7,7,3,1,16,3,7,1,West,Stop,East,Stop,4,-1,17,-1,13,373,-1,South,372
6,9,South,True,False,True,False,6,7,3,1,15,3,7,1,West,Stop,West,Stop,2,-1,15,-1,12,372,-1,South,371
6,8,South,True,False,True,False,5,7,3,1,15,3,7,1,West,Stop,West,Stop,2,-1,14,-1,13,371,-1,South,370
6,7,South,True,False,True,False,5,8,3,1,14,3,7,1,North,Stop,West,Stop,2,-1,12,-1,14,370,-1,North,369
6,8,North,True,False,True,False,5,9,3,1,13,3,7,1,North,Stop,West,Stop,2,-1,12,-1,13,369,-1,North,368
6,9,North,True,False,True,False,4,9,3,1,13,3,7,1,West,Stop,West,Stop,2,-1,13,-1,12,368,-1,West,367
5,9,West,True,False,True,False,4,9,3,1,14,3,7,1,Stop,Stop,East,Stop,1,-1,15,-1,13,367,199,West,566
4,9,West,False,False,True,False,1,1,3,1,15,3,7,1,Stop,Stop,East,Stop,-1,-1,17,-1,14,566,-1,South,565
4,8,South,False,False,True,False,1,1,3,1,15,3,7,1,Stop,Stop,East,Stop,-1,-1,16,-1,15,565,-1,East,564
5,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,West,Stop,-1,-1,14,-1,14,564,-1,East,563
6,8,East,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,North,Stop,-1,-1,12,-1,13,563,-1,East,562
7,8,East,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,North,Stop,-1,-1,11,-1,12,562,-1,East,561
8,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,South,Stop,-1,-1,11,-1,11,561,-1,East,560
9,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,South,Stop,-1,-1,10,-1,10,560,-1,South,559
9,7,South,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,West,Stop,-1,-1,8,-1,11,559,-1,South,558
9,6,South,False,False,True,False,1,1,3,1,13,4,7,1,Stop,Stop,North,Stop,-1,-1,6,-1,12,558,-1,East,557
10,6,East,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,South,Stop,-1,-1,6,-1,11,557,-1,South,556
10,5,South,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,South,Stop,-1,-1,5,-1,12,556,-1,East,555
11,5,East,False,False,True,False,1,1,3,1,12,3,7,1,Stop,Stop,West,Stop,-1,-1,3,-1,11,555,-1,South,554
11,4,South,False,False,True,False,1,1,3,1,11,3,7,1,Stop,Stop,Stop,Stop,-1,-1,1,-1,12,554,199,South,753
1,18,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,-1,South,-1
1,17,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,12,24,27,34,-1,-1,-1,South,-2
1,16,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,11,23,26,33,-1,-2,-1,South,-3
1,15,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,10,22,25,32,-1,-3,-1,South,-4
1,14,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,9,21,24,31,-1,-4,-1,South,-5
1,13,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,20,23,30,-1,-5,-1,South,-6
1,12,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,19,22,29,-1,-6,-1,East,-7
2,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,18,21,28,-1,-7,-1,East,-8
3,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,17,20,27,-1,-8,-1,East,-9
4,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,16,19,26,-1,-9,-1,East,-10
5,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,15,18,25,-1,-10,-1,East,-11
6,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,14,17,24,-1,-11,-1,East,-12
7,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,13,16,23,-1,-12,-1,East,-13
8,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,12,15,22,-1,-13,-1,South,-14
8,11,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,11,14,21,-1,-14,-1,South,-15
8,10,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,10,13,20,-1,-15,-1,South,-16
8,9,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,9,12,19,-1,-16,-1,South,-17
8,8,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,8,11,18,-1,-17,-1,South,-18
8,7,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,7,10,17,-1,-18,-1,South,-19
8,6,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,6,9,18,-1,-19,-1,West,-20
7,6,West,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,7,10,19,-1,-20,-1,West,-21
6,6,West,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,8,11,20,-1,-21,-1,North,-22
6,7,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,9,12,19,-1,-22,-1,North,-23
6,8,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,2,10,13,20,-1,-23,-1,North,-24
6,9,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,1,11,14,21,-1,-24,199,West,175
5,9,West,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,12,15,22,-1,175,-1,South,174
5,8,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,11,14,21,-1,174,-1,East,173
6,8,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,10,13,20,-1,173,-1,South,172
6,7,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,9,12,19,-1,172,-1,South,171
6,6,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,8,11,20,-1,171,-1,East,170
7,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,7,10,19,-1,170,-1,East,169
8,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,6,9,18,-1,169,-1,South,168
8,5,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,5,10,19,-1,168,-1,East,167
9,5,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,4,9,18,-1,167,-1,South,166
9,4,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,3,10,19,-1,166,-1,East,165
10,4,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,2,9,18,-1,165,-1,South,164
10,3,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,1,10,19,-1,164,199,East,363
11,3,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,18,-1,363,-1,North,362
11,4,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,8,17,-1,362,-1,North,361
11,5,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,16,-1,361,-1,North,360
11,6,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,6,15,-1,360,-1,North,359
11,7,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,14,-1,359,-1,North,358
11,8,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,8,15,-1,358,-1,North,357
11,9,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,16,-1,357,-1,North,356
11,10,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,10,17,-1,356,-1,North,355
11,11,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,11,18,-1,355,-1,North,354
11,12,North,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,12,19,-1,354,-1,East,353
12,12,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,11,18,-1,353,-1,East,352
13,12,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,10,17,-1,352,-1,South,351
13,11,South,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,16,-1,351,-1,South,350
13,10,South,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,8,15,-1,350,-1,South,349
13,9,South,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,14,-1,349,-1,East,348
14,9,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,6,13,-1,348,-1,South,347
14,8,South,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,5,12,-1,347,-1,East,346
15,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,4,11,-1,346,-1,East,345
16,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,3,10,-1,345,-1,East,344
17,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,2,9,-1,344,-1,East,343
18,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,3,8,-1,343,-1,East,342
19,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,4,7,-1,342,-1,East,341
20,8,East,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,5,6,-1,341,-1,West,340
19,8,West,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,4,7,-1,340,-1,West,339
18,8,West,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,3,8,-1,339,-1,West,338
17,8,West,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,2,9,-1,338,-1,West,337
16,8,West,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,3,10,-1,337,-1,West,336
15,8,West,False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,4,11,-1,336,-1,West,335
