@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R2,4-31,33'

@attribute pacman_position_x numeric
@attribute is_North_Valid {True,False}
@attribute next_action {North,South,East,West,Stop}

@data
12,True,North
12,True,North
12,True,South
12,True,South
12,True,South
12,True,South
12,True,East
13,True,West
12,True,West
11,True,West
10,True,West
9,True,West
8,True,North
8,True,West
7,True,North
7,True,West
6,True,North
6,True,West
5,True,North
12,True,North
12,True,North
12,True,East
13,True,South
13,True,South
13,True,South
13,True,South
13,True,South
13,True,South
13,True,West
12,True,West
11,True,West
10,True,West
9,True,West
8,True,West
7,True,West
6,True,West
5,True,North
5,True,North
5,True,North
5,False,East
6,True,North
6,True,North
6,True,North
6,True,West
1,False,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,East
2,False,East
3,True,East
4,True,North
4,True,East
5,True,East
6,True,South
6,True,West
5,True,South
5,True,South
5,True,South
5,True,East
6,False,East
7,False,East
8,True,East
9,True,East
10,True,East
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,False,East
12,False,East
13,False,East
14,True,East
15,False,East
16,False,East
17,True,South
17,True,East
18,True,East
19,True,East
20,True,South
20,True,East
21,False,East
22,True,East
23,True,South
23,True,South
23,True,South
23,True,South
23,True,South
23,True,East
24,True,East
25,True,East
26,True,East
1,False,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,South
1,True,East
2,False,East
3,False,East
4,False,East
5,False,East
6,False,East
7,False,East
8,True,South
8,True,South
8,True,South
8,True,South
8,True,South
8,True,South
8,True,West
7,False,West
6,True,North
6,True,North
6,True,North
6,True,West
5,True,South
5,True,East
6,True,South
6,True,South
6,True,East
7,False,East
8,True,South
8,True,East
9,True,South
9,True,East
10,True,South
10,True,East
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,True,North
11,False,East
12,False,East
13,False,South
13,True,South
13,True,South
13,True,East
14,True,South
14,True,East
15,False,East
16,False,East
17,False,East
18,False,East
19,False,East
20,False,West
19,False,West
18,False,West
17,False,West
16,False,West
15,False,West
14,True,North
14,True,Stop
14,True,West
13,True,North
13,True,Stop
13,True,Stop
13,True,Stop
13,True,Stop
13,True,Stop
13,True,Stop
13,True,East
14,True,South
14,True,South
14,True,East
15,False,East
16,False,East
17,False,East
18,False,East
19,False,East
20,False,West
19,False,West
18,False,West
17,False,West
16,False,West
15,False,West
14,True,South
14,True,South
14,True,East
15,False,East
16,False,East
17,False,East
18,False,East
19,False,East
20,False,East
21,False,East
22,False,East
23,True,East
24,True,North
24,True,East
1,False,East
2,False,East
3,False,East
4,False,East
5,False,South
5,True,East
6,True,South
6,True,East
7,False,East
8,False,East
9,False,East
10,True,North
10,True,East
11,True,South
11,True,East
12,False,South
12,True,South
12,True,East
13,True,North
13,True,West
12,True,North
12,False,East
13,False,Stop
13,False,Stop
13,False,Stop
13,False,South
13,True,West
12,True,South
12,True,East
13,True,East
14,True,North
14,True,West
13,True,South
13,True,East
14,True,North
14,True,West
13,True,South
13,True,East
14,True,South
14,True,South
14,True,West
13,False,West
12,False,West
11,False,South
1,False,East
2,False,East
3,False,East
4,False,East
5,False,South
5,True,South
5,True,East
6,True,South
6,True,South
6,True,East
7,True,East
8,True,South
8,True,South
8,True,West
7,False,West
6,False,West
5,False,West
4,False,West
3,False,West
2,False,West
1,True,North
1,True,North
1,True,East
2,True,East
3,True,East
4,True,North
4,True,East
5,True,North
5,True,East
6,True,North
6,True,North
6,False,East
7,False,East
8,False,East
9,False,East
10,False,South
10,True,South
10,True,East
11,True,East
12,False,South
12,True,South
12,True,East
13,True,East
14,True,South
4,False,East
5,False,South
5,True,South
5,True,South
5,True,South
5,True,South
5,True,South
5,True,East
6,True,East
7,True,East
8,True,East
9,True,East
10,True,East
11,True,East
12,True,East
13,True,East
14,True,North
14,True,East
15,True,East
16,True,East
17,True,East
18,True,North
18,True,East
19,True,East
20,True,East
21,True,East
22,True,South
4,False,East
5,False,East
6,False,South
6,True,East
7,True,South
7,True,East
8,True,South
8,True,East
9,True,South
9,True,East
10,True,South
10,True,East
11,True,South
11,True,South
11,True,South
11,True,West
10,True,South
10,True,West
9,True,Stop
9,True,Stop
9,True,North
9,True,East
10,True,East
11,True,North
11,True,East
12,True,North
12,True,East
13,True,North
13,True,East
14,True,North
14,True,East
15,True,North
15,True,East
16,True,North
16,True,East
17,True,North
17,True,East
18,True,North
18,False,East
19,False,South
19,True,East
20,True,South
20,True,East
21,True,South
21,True,East
14,False,East
15,True,North
15,True,North
15,False,East
16,False,East
17,False,East
18,True,North
18,True,North
18,True,North
18,False,East
19,False,East
20,False,East
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,West
20,False,West
19,True,South
19,True,South
19,True,West
18,False,West
17,False,West
16,False,West
15,False,West
14,False,West
13,False,West
12,False,West
11,False,East
12,False,East
13,False,East
14,False,East
15,False,East
16,False,East
17,False,East
18,False,East
19,True,South
19,True,North
19,True,West
18,False,West
17,False,West
16,False,West
15,False,West
14,False,West
13,False,West
12,False,West
11,False,West
10,False,West
9,False,East
10,False,East
11,False,East
12,False,East
13,False,East
14,False,East
15,False,East
16,False,East
17,False,East
18,False,West
17,False,West
16,False,West
15,False,West
14,False,West
13,False,West
12,False,West
11,False,West
10,False,East
11,False,East
12,False,East
13,False,East
14,False,East
15,False,East
16,False,East
17,False,East
18,False,East
19,True,North
19,True,North
19,True,North
19,True,North
19,False,West
18,False,West
17,False,West
16,False,West
15,True,West
14,False,West
13,False,West
12,True,North
12,True,South
12,True,East
13,False,South
13,True,East
14,True,South
14,True,East
15,False,East
14,False,East
15,True,North
15,True,North
15,False,East
16,False,East
17,False,East
18,True,North
18,True,North
18,True,North
18,False,East
19,False,East
20,False,East
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,North
21,True,West
20,False,West
19,True,South
19,True,South
19,True,West
18,False,West
17,False,West
16,False,West
15,False,West
14,False,West
13,False,West
12,False,West
11,False,West
10,False,West
9,False,West
8,True,North
8,True,North
8,True,North
8,True,North
8,False,Stop
8,False,East
9,False,East
10,False,East
11,False,East
12,True,East
13,False,South
13,True,South
13,True,East
14,True,East
15,False,East
16,False,East
17,False,West
16,False,West
15,False,West
14,True,West
13,True,West
12,False,West
11,False,West
